1,,,,,,,,
5,3,2,0,,,,,
3,1,,,,,,,
4,5,1,2,,,,,
5,3,7,,,,,,
6,12,7,4,3,1,,,
5,,,,,,,,
11,12,5,4,10,9,8,,
18,9,7,,,,,,
10,7,8,18,16,,,,
13,11,7,9,16,12,,,
12,10,7,,,,,,
14,13,10,11,7,5,,,
14,12,10,16,,,,,
24,23,15,16,13,12,,,
14,23,16,,,,,,
15,14,13,10,9,18,17,22,23
16,18,22,,,,,,
17,16,9,8,22,21,20,19,
18,20,,,,,,,
21,19,28,18,,,,,
22,18,20,28,27,,,,
23,16,17,18,21,27,25,24,
14,15,16,22,24,,,,
14,23,22,25,26,29,,,
24,22,27,26,,,,,
24,25,27,28,29,,,,
25,22,21,28,26,,,,
27,20,26,29,30,31,32,21,
24,26,28,30,,,,,
29,28,31,,,,,,
30,28,32,,,,,,
28,31,,,,,,,
